File,Release Number,LOC,LOC touched,Number of Revisions,Fix Count,Authors,LOC added,Max LOC added,Average LOC added,Churn,Max Churn,Average Churn,Change Set Size,Max Change Set Size,Average Change Set Size,Release Length,Weighted Release Length,Actual
lib/javame/src/org/apache/thrift/transport/TTransportFactory.java,1,41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,8632.097561,F
lib/java/src/org/apache/thrift/transport/TTransport.java,1,159,9,2,2,1,7,6,3.5,5,5,2.5,59,45,2.5,353916,2225.886792,T
lib/java/src/org/apache/thrift/protocol/TProtocolFactory.java,1,31,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,11416.645161,T
lib/java/src/org/apache/thrift/meta_data/FieldMetaData.java,1,70,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,5055.942857,T
lib/java/src/org/apache/thrift/transport/TStandardFile.java,1,60,60,1,1,1,60,60,60.0,60,60,60.0,45,45,60.0,353916,5898.600000,F
lib/java/src/org/apache/thrift/protocol/TType.java,1,40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,8847.900000,F
lib/java/src/org/apache/thrift/meta_data/ListMetaData.java,1,29,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,12204.000000,F
lib/java/src/org/apache/thrift/transport/AutoExpandingBufferWriteTransport.java,1,68,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,5204.647059,F
lib/java/src/org/apache/thrift/transport/TTransportFactory.java,1,41,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,8632.097561,F
lib/java/test/org/apache/thrift/TestTBaseHelper.java,1,188,4,1,1,1,4,4,4.0,4,4,4.0,2,2,4.0,353916,1882.531915,F
tutorial/java/src/JavaServer.java,1,110,143,1,1,1,67,67,67.0,-9,0,-9.0,45,45,-9.0,353916,3217.418182,T
lib/java/src/org/apache/thrift/transport/TSaslTransport.java,1,539,17,3,2,2,11,8,3.666667,5,8,1.666667,62,45,1.666667,353916,656.615955,T
lib/java/test/org/apache/thrift/transport/TestAutoExpandingBuffer.java,1,37,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,9565.297297,F
lib/java/test/org/apache/thrift/Fixtures.java,1,130,12,1,1,1,10,10,10.0,8,8,8.0,45,45,8.0,353916,2722.430769,T
lib/java/test/org/apache/thrift/test/TestServer.java,1,86,86,1,1,1,86,86,86.0,86,86,86.0,45,45,86.0,353916,4115.302326,T
lib/java/test/org/apache/thrift/TestStruct.java,1,304,38,3,2,2,37,23,12.333333,36,23,12.0,48,45,12.0,353916,1164.197368,F
lib/java/src/org/apache/thrift/server/TServlet.java,1,119,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2974.084034,F
lib/javame/src/org/apache/thrift/TServiceClient.java,1,39,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,9074.769231,F
lib/javame/src/org/apache/thrift/transport/TFramedTransport.java,1,122,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2900.950820,F
lib/javame/src/org/apache/thrift/protocol/TProtocolException.java,1,81,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,4369.333333,F
lib/java/src/org/apache/thrift/transport/TSaslServerTransport.java,1,227,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,1559.101322,T
lib/javame/src/org/apache/thrift/meta_data/StructMetaData.java,1,51,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,6939.529412,F
lib/java/src/org/apache/thrift/transport/TServerSocket.java,1,142,11,2,2,1,4,3,2.0,-3,0,-1.5,59,45,-1.5,353916,2492.366197,T
lib/js/test/src/test/Httpd.java,1,299,1,1,1,1,1,1,1.0,1,1,1.0,45,45,1.0,353916,1183.665552,F
lib/java/src/org/apache/thrift/async/TAsyncMethodCall.java,1,270,32,1,1,1,23,23,23.0,14,14,14.0,45,45,14.0,353916,1310.800000,T
lib/java/src/org/apache/thrift/transport/TSeekableFile.java,1,33,33,1,1,1,33,33,33.0,33,33,33.0,45,45,33.0,353916,10724.727273,F
lib/java/src/org/apache/thrift/protocol/TBinaryProtocol.java,1,398,2,1,1,1,1,1,1.0,0,0,0.0,3,3,0.0,353916,889.236181,T
lib/java/test/org/apache/thrift/protocol/TestTBinaryProtocol.java,1,32,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,11059.875000,F
lib/java/src/org/apache/thrift/protocol/TMap.java,1,40,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,8847.900000,F
lib/java/test/org/apache/thrift/protocol/ProtocolTestBase.java,1,405,11,1,1,1,11,11,11.0,11,11,11.0,3,3,11.0,353916,873.866667,F
lib/java/src/org/apache/thrift/transport/AutoExpandingBuffer.java,1,52,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,6806.076923,F
lib/javame/src/org/apache/thrift/protocol/TProtocolUtil.java,1,158,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,353916,2239.974684,F
